location,year,value
ABERDEEN  SCOTLAND ,2016,1
A CORUÃ‘A SPAIN ,2011,1
ADELAIDE   AUSTRALIA ,2017,1
ADELAIDE   AUSTRALIA ,2013,1
AHMEDABAD  INDIA ,2013,1
AKSARAY  TURKEY ,2013,1
ALGHERO  SARDINIA  ITALY ,2017,1
ALICANTE  SPAIN ,2016,1
AMANTEA  ITALY ,2013,1
AMANTEA  ITALY ,2014,1
AMMAN  JORDAN ,2015,1
AMSTERDAM   NETHERLAND ,2017,2
AMSTERDAM   NETHERLAND ,2018,2
ANCHORAGE  ALASKA  USA ,2017,1
ANTWERP  BELGIUM ,2014,1
ARRAS  FRANCE ,2017,2
ASILOMAR  CALIFORNIA ,2013,1
ATHENS  GREECE ,2011,1
ATHENS  GREECE ,2014,2
ATHENS  GREECE ,2016,2
ATHENS  GREECE ,2017,1
ATLANTA  GA,2017,1
ATLANTA  GA,2017,1
ATLANTA  GA,2017,1
ATLANTIC CITY  NJ  USA ,2015,1
AUCKLAND,2014,1
AUCKLAND,2018,1
AUSTIN  TEXAS  USA ,2017,3
BACAU ,2017,1
BALI,2017,1
BALI,2018,2
BAMBERG  GERMANY ,2018,1
BANGALORE INDIA ,2012,1
BANGALORE INDIA ,2017,1
BANGALORE INDIA ,2011,1
BANGKOK  THAILAND ,2012,1
BANGKOK  THAILAND ,2017,3
BANGKOK  THAILAND ,2018,2
BARCELONA,2013,1
BARCELONA,2016,1
BARCELONA,2016,5
BARCELONA,2017,5
BARCELONA,2018,1
BALI,2017,1
BARI  ITALY ,2016,1
BATH  UK ,2017,1
BEIJING  CHINA ,2012,1
BEIJING  CHINA ,2016,1
BEIJING  CHINA ,2017,4
BEIJING  CHINA ,2018,3
BERLIN  GERMANY ,2011,1
BERLIN  GERMANY ,2012,1
BERLIN  GERMANY ,2016,1
BERN  SWITZERLAND ,2017,1
BORACAY  PHILIPINES ,2018,2
BORDEAUX  FRANCE ,2014,1
BOSTON,2017,1
BOSTON,2017,1
BOSTON,2017,1
BOSTON,2016,1
BRINDISI ,2016,1
BRISBANE  AUSTRALIA ,2013,1
BRISBANE  AUSTRALIA ,2014,2
BRISBANE  AUSTRALIA ,2018,2
BRISTOL ,2017,1
BRNO  CZECH REPUBLIC ,2017,1
BRUGES  BELGIUM ,2017,2
BRUNEI ,2016,1
BRUGES  BELGIUM ,2012,1
BUCHAREST ,2017,1
BUCHAREST  ROMANIA ,2017,1
BUDAPEST  HUNGARY ,2018,1
BURLINGAME  CA ,2012,1
BURLINGAME  CA ,2017,1
CANCUN  MEXICO ,2016,1
CANCUN  MEXICO ,2017,1
CADIZ (SPAIN) ,2018,1
CAEN  FRANCE ,2017,1
CAIRO  EGYPT ,2017,1
CAIRO  EGYPT ,2018,1
CALTECH  PASADENA  CA  USA ,2017,1
CAMBRIDGE,2017,1
CAMBRIDGE,2012,1
CAMBRIDGE  MASSACHUSETTS  USA ,2017,1
CAMBRIDGE,2012,1
CAMBRIDGE,2017,1
CAPRI (ITALY) ,2017,1
CASABLANCA  MOROCCO ,2018,1
CHANGA  ANAND  INDIA ,2017,1
CHANIA  CRETE  GREECE ,2012,2
CHEMNITZ ,2017,1
CHENGDU  CHINA ,2016,1
CHENGDU  CHINA ,2017,3
CHENGDU  CHINA ,2018,6
CHENGDU  SICHUAN  CHINA ,2016,4
CHENNAI ,2017,1
CHENNAI  INDIA ,2017,5
CHICAGO  USA ,2014,1
CHINA ,2017,1
CHONGQING ,2017,1
COIMBRA  PORTUGAL ,2013,2
COLCHESTER  UK ,2017,1
COPENHAGEN  DENMARK ,2016,1
COPENHAGEN  DENMARK ,2017,1
BACAU ,2017,1
CURITIBA  BRAZIL ,2014,1
CUSCO  PERU ,2016,1
CUZCO ,2016,1
CYPRUS ,2017,1
C?RDOBA  ARGENTINA ,2017,1
DAEGU  SOUTH KOREA ,2017,1
DALIAN  CHINA ,2017,1
DAYTON  OHIO ,2011,1
DEKALB IL USA ,2018,2
DEIR EL-BALAH  PALESTINE ,2017,1
DELFT  THE NETHERLANDS ,2018,1
DONG HOI CITY  VIETNAM ,2017,2
DONG HOI CITY  VIETNAM ,2018,1
DRUSKININKAI  LITHUANIA ,2017,1
DUBAI  UAE ,2014,1
DUBAI  UAE ,2016,1
DUBAI  UAE ,2017,18
DUBAI  UAE ,2018,6
DUBLIN  IRELAND ,2016,1
EXETER  ENGLAND ,2017,1
FLORENCE  ITALY ,2017,1
FLORIDA  USA ,2018,1
FORT LAUDERDALE  FLORIDA  USA ,2017,1
FORT WAYNE  IN ,2017,1
CAEN  FRANCE ,2017,1
FUKUOKA  JAPAN ,2017,2
FUNCHAL  MADEIRA ,2018,1
FUNCHAL  MADEIRA  PORTUGAL ,2018,4
GALWAY/IRELAND ,2017,1
GANGTOK  SIKKIM  INDIA ,2017,1
GAZA ( PALESTINE ) ,2017,1
GENEVA  SWITZERLAND ,2017,4
GENOA  ITALY ,2013,1
GIFU (JAPAN) ,2012,1
GIFU (JAPAN) ,2016,1
GLASGOW  SCOTLAND  UK ,2011,1
GLASGOW  UK ,2015,1
GOA  INDIA ,2017,1
GOLD COAST ,2016,1
GRAZ  AUSTRIA ,2013,1
GRAZ  AUSTRIA ,2016,1
GUANGZHOU ,2017,1
HANGZHOU  CHINA ,2014,1
HANGZHOU  CHINA ,2017,2
HANGZHOU  CHINA ,2018,1
GUAYAQUIL  ECUADOR ,2016,1
GUILIN ,2018,1
GUILIN ,2017,1
GUIYANG  CHINA ,2018,1
HALIFAX  NOVA SCOTIA - CANADA ,2017,1
HAMILTON  NEW ZEALAND ,2016,1
HAMMAMET  TUNISIA ,2017,1
HANGZHOU  CHINA ,2014,1
HANGZHOU  CHINA ,2016,1
HANGZHOU  CHINA ,2017,1
HANGZHOU  CHINA ,2018,1
HANOI  VIETNAM ,2015,1
HANOI  VIETNAM ,2017,1
HANOI  VIETNAM ,2018,2
HASSELT  BELGIUM ,2014,1
HAWAII  USA ,2017,3
HEFEI  CHINA ,2018,1
HELSINKI  FINLAND ,2016,1
HELSINKI  FINLAND ,2017,1
VIETNAM ,2014,1
VIETNAM ,2018,1
HOBART  AUSTRALIA ,2016,1
HONG KONG ,2017,4
HONG KONG ,2018,3
HONOLULU  HAWAII  USA ,2017,3
HONOLULU  HAWAII  USA ,2018,1
HUA-HIN  PRACHUAPKIRIKAN THAILAND ,2017,1
HYDERABAD  INDIA ,2014,1
HYDERABAD  INDIA ,2017,1
ICDM17  NEW ORLEANS  USA ,2017,1
HYDERABAD  INDIA ,2017,1
INCHEON  KOREA ,2011,1
INDIA ,2017,1
INDIANAPOLIS  INDIANA  USA ,2017,1
IRBID  JORDAN ,2013,1
IRBID  JORDAN ,2014,1
ISFAHAN  IRAN ,2017,1
ISLAMABAD ,2013,1
ISTANBUL  TURKEY ,2012,1
ISTANBUL  TURKEY ,2018,2
JAIPUR  INDIA ,2017,2
JEJU ISLAND  KOREA ,2017,1
JEJU ISLAND  SOUTH KOREA ,2017,1
JEJU ISLAND  SOUTH KOREA ,2018,1
JINAN  CHINA ,2018,1
KAIST  DAEJEON  KOREA ,2017,1
KALBIS INSTITUTE  JAKARTA  INDONESIA ,2017,1
KAOHSIUNG  TAIWAN ,2011,1
KAOHSIUNG  TAIWAN ,2012,1
KAOHSIUNG  TAIWAN ,2014,1
KAZAN  RUSSIA ,2013,1
KHENCHELA  ALGERIA ,2016,1
KITAKYUSHU  JAPAN ,2017,3
KLAGENFURT ,2017,1
KOCHI ,2016,1
KOCHI  KERALA ,2016,1
KOHALA COAST  HAWAII  USA ,2015,1
KOLKATA ,2018,1
KOLKATA  INDIA ,2017,1
KORTRIJK  BELGIUM ,2017,1
KRABI  THAILAND ,2016,1
KRAKOW  POLAND ,2017,2
KRAKOW  POLAND ,2018,1
KUALA LUMPUR ,2016,1
KUALA LUMPUR  MALAYSIA ,2013,2
KUALA LUMPUR  MALAYSIA ,2017,2
KUALA LUMPUR  MALAYSIA ,2018,1
KUANTAN  MALAYSIA ,2018,1
KYOTO ,2017,1
TOKYO  JAPAN ,2017,1
TOKYO  JAPAN ,2018,1
LA HABANA  CUBA ,2013,1
LAGO DI GARDA  TRENTO  ITALY ,2013,1
LAGUNA HILLS  CA ,2018,1
LANZAROTE  SPAIN ,2018,1
LAS VEGAS ,2018,1
LEIPZIG  GERMANY ,2017,1
LEIPZIG  GERMANY ,2018,1
LEON SPAIN ,2016,1
LIMASSOL  CYPRUS ,2017,1
LISBON ,2011,2
LISBON  PORTUGAL ,2014,1
LISBON  PORTUGAL ,2017,1
LIVERPOOL  UNITED KINGDOM ,2017,1
POZNAN  POLAND ,2013,1
POZNAN  POLAND ,2015,1
LOGRO?O (LA RIOJA) SPAIN ,2017,1
LOME/TOGO ,2017,1
LONDON ,2017,2
LONDON  UK ,2017,1
LONDON  UK ,2015,1
LONDON  UK ,2017,5
LONDON  UNITED KINGDOM ,2017,1
LONG BEACH  CA  USA ,2017,1
LONG BEACH  CALIFORNIA ,2017,1
LOS ANGELES  CA ,2017,2
LOS ANGELES  CALIFORNIA  USA ,2016,1
LOS CABOS  MEXICO ,2014,1
LUXEMBOURG ,2017,1
LYON  FRANCE ,2017,1
MALAYSIA ,2018,1
MAASTRICHT  THE NETHERLANDS ,2018,1
MACAU  CHINA ,2012,1
MACAU  CHINA ,2018,2
MADEIRA ,2017,1
MADRID ,2017,1
MADRID  SPAIN ,2016,1
MADRID  SPAIN ,2017,2
MALANG  INDONESIA ,2016,1
MALATYA  TURKEY ,2017,1
MALDIVES ,2018,1
MANILA  PHILIPPINES ,2018,2
MARATEA  ITALY ,2011,1
MARBURG  GERMANY ,2012,1
MARCO ISLAND ,2017,2
MARCO ISLAND  FLORIDA ,2017,2
MARRAKECH  MOROCCO ,2016,1
MARRAKECH  MOROCCO ,2017,2
MASHHAD IRAN ,2016,1
MASSACHUSETTS INSTITUTE OF TECHNOLOGY  C ,2017,1
MATSUE  JAPAN ,2018,1
MAUI  USA ,2012,2
MAUN  BOTSWANA ,2017,1
MAURITIUS ,2017,1
MELAKA  MALAYSIA ,2017,1
MELBOURNE ,2015,1
MELBOURNE ,2016,1
MELBOURNE ,2017,1
MELBOURNE  AUSTRALIA ,2015,1
MELBOURNE  AUSTRALIA ,2017,6
MELBOURNE  AUSTRALIA ,2018,4
MELBOURNE  FL  USA ,2018,2
MELBOURNE  FLORIDA ,2018,1
MENLO PARK  CA ,2011,1
MERIDA  MEXICO ,2018,1
METROPOLITAN COLLEGE  GREECE ,2017,1
MEXICO CITY ,2017,1
MAUI  USA ,2017,1
MILAN  ITALY ,2016,1
MINSK  BELARUS ,2018,1
MONS  BELGIUM ,2017,1
MONTREAL  CANADA ,2011,1
MONTREAL  CANADA ,2016,2
MONTREAL  CANADA ,2017,2
MONTREAL  CANADA ,2018,1
MONTREAL  QUEBEC ,2013,1
MONTREAL  QUEBEC ,2018,1
MOSCOW  RUSSIA ,2012,1
MOSCOW  RUSSIA ,2016,1
MOSCOW  RUSSIA ,2017,2
MOSCOW  RUSSIA ,2018,2
MOUNTAIN VIEW  CA  USA ,2011,1
MUNICH  GERMANY ,2013,1
MUNICH  GERMANY ,2014,1
MUNICH  GERMANY ,2018,2
M?LAGA ,2017,1
NEW ORLEANS  USA ,2017,1
NAGOYA  JAPAN ,2017,2
NAGOYA  JAPAN ,2018,4
NAIGUAT?  VENEZUELA ,2013,3
NANJING ,2017,1
NANJING AND TAI&#8217;AN  CHINA ,2018,1
NAPLES ,2017,1
NEW DELHI ,2016,1
NEW JERSEY  USA ,2017,1
NEW ORLEANS ,2017,1
NEW ORLEANS  LOUISIANA ,2018,2
NEW YORK ,2013,1
NEW YORK ,2018,3
NEW YORK CITY  USA ,2018,1
NEW YORK  USA ,2013,2
NEW YORK  USA ,2017,1
NHATRANG  VIETNAM ,2017,2
NICE  FRANCE ,2017,2
NICOSIA  CYPRUS ,2017,1
ODISHA  INDIA ,2014,1
OLDENBURG  LOWER SAXONY  GERMANY ,2014,1
OLSZTYN  POLAND ,2017,1
OLTEN  SWITZERLAND ,2016,1
ONLINE ,2016,1
ONLINE ,2017,1
OPATIJA  CROATIA ,2013,1
ORANGE GARDENS  PARIS AREA  FRANCE ,2018,1
ORL?ANS - FRANCE ,2017,1
OSAKA  JAPAN ,2017,1
OSAKA  JAPAN ,2018,2
OUAGADOUGOU  BURKINA FASO (WEST AFRICA) ,2016,1
PALAIS DES CONGR?S NEPTUNE  TOULON  FRANCE ,2017,1
PAPHOS  CYPRUS ,2012,2
PARIS  FRANCE ,2011,1
PARIS  FRANCE ,2015,1
PARIS  FRANCE ,2017,1
PART OF BIONLP 2017 (VANCOUVER  CANADA) ,2017,1
PATRAS ,2017,1
PAU  FRANCE ,2018,3
PENANG  MALAYSIA ,2012,1
PENANG  MALAYSIA ,2017,1
PETROZAVODSK  RUSSIA ,2018,1
PHNOM PENH  CAMBODIA ,2017,1
PHUKET  THAILAND ,2017,1
PHUKET  THAILAND ,2018,3
PHUOC ISLAND  VIETNAM ,2018,1
PLAYA BLANCA  LANZAROTE ,2018,1
POITIERS  FUTUROSCOPE  FRANCE ,2012,1
POLAND ,2017,1
POLANICA ZDROJ  POLAND ,2017,1
PORTO ,2016,1
PORTO ,2017,2
PORTO  PORTUGAL ,2016,1
PORTO  PORTUGAL ,2017,4
PORTOROZ  SLOVENIA ,2017,1
POZNAN  POLAND ,2012,1
POZNAN  POLAND ,2017,1
POZNAN  POLAND ,2018,1
PRAGUE ,2012,1
PRAGUE ,2017,3
PRAGUE  CZECH REPUBLIC ,2013,2
PRAGUE  CZECH REPUBLIC ,2017,3
PRAGUE  CZECH REPUBLIC ,2018,2
PUEBLA  MEXICO ,2017,1
PUNE  INDIA ,2012,1
PUNE  INDIA ,2016,1
PUNE  INDIA ,2017,1
QUEBEC  CANADA ,2015,1
QUEBEC  CANADA ,2017,1
QUITO - ECUADOR ,2016,1
QUITO - ECUADOR ,2017,1
RABAT ,2012,1
RABAT  MOROCCO ,2018,2
RALEIGH ,2017,1
RALEIGH  U.S. ,2016,1
RALEIGH  U.S. ,2017,1
REGGIO DI CALABRIA ,2017,3
REPUBLIC OF MAURITIUS ,2017,1
REUNION ISLAND ,2012,1
GREECE ,2018,1
RIGA  LATVIA ,2016,1
RIGA  LATVIA ,2017,1
RIO DE JANEIRO  BRAZIL ,2016,1
RIVA DEL GARDA ,2016,1
RIYADH  SAUDI ARABIA ,2016,1
ROCCELLA JONICA (RC) - ITALY ,2013,1
BALI,2017,1
ROME  ITALY ,2012,4
ROTTERDAM  NETHERLANDS ,2013,1
SALT LAKE CITY  UTAH ,2018,1
SALZBURG  AUSTRIA ,2017,1
SAN DIEGO ,2017,1
SAN DIEGO  CALIFORNIA  USA ,2018,1
SAN DIEGO ,2018,1
SAN FRANCISCO ,2016,1
SAN FRANCISCO ,2017,1
SAN JOSE  CA ,2013,1
SANTA CLARA  CA  USA ,2013,1
SANTA CLARA  CALIFORNIA  USA ,2016,1
SANTA FE  NEW MEXICO  USA. ,2015,1
SANTIAGO  CHILE ,2018,1
SAO PAULO  BRAZIL ,2012,1
SAO PAULO  BRAZIL ,2017,1
SCOTTSDALE  ARIZONA  USA ,2012,2
SEATTLE  USA ,2011,1
SEATTLE  USA ,2018,2
SEATTLE  WA ,2011,1
SEOUL  SOUTH KOREA ,2012,1
SEOUL  SOUTH KOREA ,2015,1
SEOUL  SOUTH KOREA ,2016,1
SEOUL  SOUTH KOREA ,2017,5
SEVILLE ,2017,1
SHANGHAI ,2018,1
SHANGHAI  CHINA ,2017,4
SHANGHAI  CHINA ,2018,6
SHENZHEN ,2017,1
SHENZHEN  CHINA ,2016,1
SHENZHEN  CHINA ,2017,1
SHENZHEN  CHINA ,2018,1
SHIRAZ ,2017,2
SINGAPORE ,2017,10
SINGAPORE ,2018,6
SKOPJE ,2017,1
SKOPJE  MACEDONIA ,2017,1
SNOWBIRD (UTAH)  USA ,2014,2
SORRENTO COAST  ITALY ,2014,1
SOUTH PADRE ISLAND  TEXAS  USA ,2018,1
SPAIN ,2017,1
SPOKANE  WA  USA ,2018,1
SPRINGER ,2017,1
ST. PETERSBURG  RUSSIA ,2016,1
ST. PETERSBURG  RUSSIA ,2017,2
STIRLING  SCOTLAND  GREAT BRITAIN ,2016,1
STOCKHOLM ,2016,1
STOCKHOLM ,2018,1
STOCKHOLM  SWEDEN ,2018,3
STUTTGART  GERMANY ,2013,1
STUTTGART  GERMANY ,2017,1
SUZHOU ,2016,1
SUZHOU ,2017,1
SYDNEY  AUSTRALIA ,2013,1
SYDNEY  AUSTRALIA ,2017,8
SYDNEY  AUSTRALIA ,2018,2
TU DORTMUND  GERMANY ,2017,2
TAIPEI  TAIWAN ,2017,1
TALLINN  ESTONIA ,2014,2
TAORMINA-SICILY  ITALY ,2018,1
THESSALONIKI  GREECE ,2018,1
TIMISOARA ,2017,1
TIMISOARA  ROMANIA ,2017,1
KYOTO ,2017,1
TOKYO  JAPAN ,2016,1
TOKYO  JAPAN ,2017,3
TOKYO  JAPAN ,2018,1
TOLEDO (SPAIN) ,2018,1
TORINO  ITALY ,2018,1
TORONTO ,2017,1
TORONTO  CANADA ,2012,1
TOULOUSE ,2011,1
TOULOUSE  FRANCE ,2011,4
TOULOUSE  FRANCE ,2017,1
TRENTO  ITALY ,2013,1
TRIESTE  ITALY ,2017,2
TROMS  NORWAY ,2017,1
TSUKUBA  JAPAN ,2017,1
TUCSON  AZ ,2017,1
TUMKUR ,2013,1
TUNISIA ,2016,1
UBERLANDIA  MG - BRAZIL ,2017,2
ULSAN  KOREA ,2017,1
ULYANOVSK  RUSSIA ,2017,1
UNIVERSITAS MERCU BUANA - MERUYA CAMPUS ,2017,1
UNIVERSITAT POMPEU FABRA  BARCELONA ,2016,1
UNIVERSITI TEKNOLOGI BRUNEI ,2017,1
USTRON NEAR KRAKOW (CRACOW)  POLAND ,2015,1
USTRON NEAR KRAKOW (CRACOW)  POLAND ,2016,1
USTRON NEAR KRAKOW (CRACOW)  POLAND ,2017,1
USTRON  POLAND ,2012,1
USTRON  POLAND ,2013,1
USTRON  POLAND ,2014,1
VALENCIA  SPAIN ,2015,1
VALENCIENNES  FRANCE ,2018,1
VALPARAISO  CHILE ,2017,2
VANCOUVER  CANADA ,2017,2
VANCOUVER  CANADA ,2018,1
VARAZDIN  CROATIA ,2011,1
VELIKO TARNOVO  BULGARIA ,2013,1
VELIKY NOVGOROD  RUSSIA ,2014,1
VENICE ,2016,1
VENICE  ITALY ,2012,2
VENICE  ITALY ,2017,1
VIENNA ,2017,1
VIENNA  AUSTRIA ,2011,2
VIENNA  AUSTRIA ,2012,1
VIENNA  AUSTRIA ,2014,1
VIENNA  AUSTRIA ,2017,7
VIENNA  AUSTRIA ,2018,1
VIJAYAWADA  INDIA ,2017,1
VILAMOURA  ALGARVE  PORTUGAL ,2017,1
VILNIUS  LITHUANIA ,2012,1
VOLTERRA (PISA) TUSCANY ,2017,1
WARSAW  POLAND ,2014,1
WARSAW  POLAND ,2017,1
WASHINGTON DC ,2016,1
WASHINGTON DC ,2017,1
WINTERTHUR - SWITZERLAND ,2017,1
WROCLAW  POLAND ,2018,1
WUHAN  CHINA ,2013,1
WUHAN  CHINA ,2017,3
WUHAN  CHINA ,2018,1
YANGON  MYANMAR ,2017,1
YOGYAKARTA  INDONESIA ,2017,3
ZAKOPANE  POLAND ,2018,1
ZURICH  SWITZERLAND ,2013,1
ZURICH  SWITZERLAND ,2017,1
ZURICH  SWITZERLAND ,2018,3
GREECE ,2018,1